N.BASES;Nombre la base ;total de observaciones;filas(observaciones);variables;total de valores en la matriz de   similaridad;Rchic total similaridad;Pchic total similaridad;cant .valores no similares ;porcentaje de valores similares entre 2 matrices;porcentaje de no similaridad;decimales 6pchic  y 7 rchic;nodospchic ;nodosrchic;porcentaje nodos iguales;dendogramas r chic;dendrograma pchic;Rchic total similaridad(6);Pchic total similaridad(6);cant .valores no similares ;porcentaje de valores similares(6);porcentaje de no similaridad
256;natallyFile_231_C34500xV7200;248400000;34500;7200;51840000;25916400;25915391;1009;1;0;7;38;40;0.95;1;1;25916400;25916400;0;1;0
257;natallyFile_232_C96200xV4800;461760000;96200;4800;23040000;11517600;11515591;2009;0.9998;0;7;38;40;0.95;1;1;11517600;11517600;0;1;0
258;natallyFile_233_C60700xV3700;224590000;60700;3700;13690000;6843150;6841051;2099;1;0;7;38;40;0.95;1;1;6843150;6843150;0;1;0
259;natallyFile_234_C60200xV8600;517720000;60200;8600;73960000;36975700;36964601;11099;1;0;7;38;40;0.95;1;1;36975700;36975700;0;1;0
260;natallyFile_235_C34200xV8600;294120000;34200;8600;73960000;36975700;36964601;11099;1;0;7;38;40;0.95;1;1;36975700;36975700;0;1;0
261;natallyFile_236_C42100xV8400;353640000;42100;8400;70560000;35275800;35235501;40299;0.9989;0;7;38;40;0.95;1;1;35275800;35275800;0;1;0
262;natallyFile_237_C22500xV8200;184500000;22500;8200;67240000;33615900;33610301;5599;1;0;7;38;40;0.95;1;1;33615900;33615900;0;1;0
263;natallyFile_238_C59000xV6100;359900000;59000;6100;37210000;18601950;18500100;101850;0.995;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
264;natallyFile_239_C41900xV2200;92180000;41900;2200;4840000;2418900;2411649;7251;1;0;7;38;40;0.95;1;1;2418900;2418900;0;1;0
265;natallyFile_240_C78200xV5200;406640000;78200;5200;27040000;13517400;13514300;3100;1;0;7;38;40;0.95;1;1;13517400;13517400;0;1;0
266;natallyFile_241_C82900xV2400;198960000;82900;2400;5760000;2878800;2871679;7121;1;0;7;38;40;0.95;1;1;2878800;2878800;0;1;0
267;natallyFile_242_C18200xV9700;176540000;18200;9700;94090000;47040150;47020149;20001;1;0;7;38;40;0.95;1;1;47040150;47040150;0;1;0
268;natallyFile_243_C60700xV3700;224590000;60700;3700;13690000;6843150;6841051;2099;1;0;7;38;40;0.95;1;1;6843150;6843150;0;1;0
269;natallyFile_244_C61700xV2200;135740000;61700;2200;4840000;2418900;2413569;5331;1;0;7;38;40;0.95;1;1;2418900;2418900;0;1;0
270;natallyFile_245_C56000xV1800;100800000;56000;1800;3240000;1619100;1613991;5109;1;0;7;38;40;0.95;1;1;1619100;1619100;0;1;0
271;natallyFile_246_C47300xV1800;85140000;47300;1800;3240000;1619100;1613991;5109;1;0;7;38;40;0.95;1;1;1619100;1619100;0;1;0
272;natallyFile_247_C59500xV5800;345100000;59500;5800;33640000;16817100;16716991;100109;0.994;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
273;natallyFile_248_C60600xV6700;406020000;60600;6700;44890000;22441650;22430151;11499;1;0;7;38;40;0.95;1;1;22441650;22441650;0;1;0
274;natallyFile_249_C22800xV3800;86640000;22800;3800;14440000;7218100;7216799;1301;1;0;7;38;40;0.95;1;1;7218100;7218100;0;1;0
275;natallyFile_154_C61700xV2200;135740000;61700;2200;4840000;2418900;2411649;7251;1;0;7;38;40;0.95;1;1;2418900;2418900;0;1;0
276;natallyFile_155_C56000xV1800;100800000;56000;1800;3240000;1619100;1607199;11901;0.99;0.01;7;38;40;0.95;1;1;1619100;1619100;0;1;0
277;natallyFile_160_C41300xV6100;251930000;41300;6100;37210000;18601950;18500100;101850;0.99;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
278;natallyFile_161_C59500xV5800;345100000;59500;5800;33640000;16817100;16716991;100109;0.99;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
279;natallyFile_163_C60600xV6700;406020000;60600;6700;44890000;22441650;22431401;10249;1;0;7;38;40;0.95;1;1;22441650;22441650;0;1;0
280;natallyFile_164_C31300xV6700;209710000;31300;6700;44890000;22441650;22431401;10249;1;0;7;38;40;0.95;1;1;22441650;22441650;0;1;0
281;natallyFile_166_C22800xV3800;86640000;22800;3800;14440000;7218100;7216799;1301;1;0;7;38;40;0.95;1;1;7218100;7218100;0;1;0
282;natallyFile_167_C20600xV9000;185400000;20600;9000;81000000;40495500;40491501;3999;0.9999;0;7;38;40;0.95;1;1;40495500;40495500;0;1;0
283;natallyFile_168_C60200xV500;30100000;60200;500;250000;124750;124251;499;1;0;7;38;40;0.95;1;1;124750;124750;0;1;0
284;natallyFile_170_C76800xV3300;253440000;76800;3300;10890000;5443350;5441101;2249;1;0;7;38;40;0.95;1;1;5443350;5443350;0;1;0
285;natallyFile_171_C18900xV5900;111510000;18900;5900;34810000;17402050;17391545;10505;1;0;7;38;40;0.95;1;1;17402050;17402050;0;1;0
286;natallyFile_172_C18900xV5900;111510000;18900;5900;34810000;17402050;17391545;10505;1;0;7;38;40;0.95;1;1;17402050;17402050;0;1;0
287;natallyFile_175_C31300xV4900;184670000;31300;5900;34810000;17402050;17391545;10505;1;0;7;38;40;0.95;1;1;17402050;17402050;0;1;0
288;natallyFile_176_C50400xV6600;332640000;50400;6600;43560000;21776700;21765699;11001;1;0;7;38;40;0.95;1;1;21776700;21776700;0;1;0
289;natallyFile_179_C50400xV6600;332640000;50400;6600;43560000;21776700;21765699;11001;1;0;7;38;40;0.95;1;1;21776700;21776700;0;1;0
290;natallyFile_179_C33200xV3900;129480000;33200;3900;15210000;7603050;7601600;1450;1;0;7;38;40;0.95;1;1;7603050;7603050;0;1;0
291;natallyFile_181_C71300xV3500;249550000;71300;3500;12250000;6123250;6111250;12000;1;0;7;38;40;0.95;1;1;6123250;6123250;0;1;0
292;natallyFile_183_C6700xV6500;435500000;67000;6500;42250000;21121750;21110599;11151;1;0;7;38;40;0.95;1;1;21121750;21121750;0;1;0
293;natallyFile_184_C23900xV5100;121890000;23900;5100;26010000;13002450;13000100;2350;1;0;7;38;40;0.95;1;1;13002450;13002450;0;1;0
294;natallyFile_186_C62400xV4200;262080000;62400;4200;17640000;8817900;8815899;2001;1;0;7;38;40;0.95;1;1;8817900;8817900;0;1;0
295;natallyFile_187_C26900xV8000;215200000;26900;8000;64000000;31996000;31985100;10900;1;0;7;38;40;0.95;1;1;31996000;31996000;0;1;0
296;natallyFile_188_C67800xV6400;433920000;67800;6400;40960000;20476800;20465799;11001;1;0;7;38;40;0.95;1;1;20476800;20476800;0;1;0
297;natallyFile_189_C43100xV1900;81890000;43100;1900;3610000;1804050;1801199;2851;1;0;7;38;40;0.95;1;1;1804050;1804050;0;1;0
298;natallyFile_190_C42100xV7000;294700000;42100;7000;49000000;24496500;24484550;11950;1;0;7;38;40;0.95;1;1;24496500;24496500;0;1;0
299;natallyFile_191_C38000xV7200;273600000;38000;7200;51840000;25916400;25910399;6001;1;0;7;38;40;0.95;1;1;25916400;25916400;0;1;0
300;natallyFile_195_C16100xV7900;127190000;16100;7900;62410000;31201050;31166950;34100;1;0;7;38;40;0.95;1;1;31201050;31201050;0;1;0
301;natallyFile_196_C51000xV8800;448800000;51000;8800;77440000;38715600;38710499;5101;1;0;7;38;40;0.95;1;1;38715600;38715600;0;1;0
302;natallyFile_197_C51000xV8800;448800000;51000;8800;77440000;38715600;38710499;5101;1;0;7;38;40;0.95;1;1;38715600;38715600;0;1;0
303;natallyFile_304_C42200xV8900;375580000;42200;8900;79210000;39600550;39500101;100449;0.997;0;7;38;40;0.95;1;1;39600550;39600550;0;1;0
304;natallyFile_305_C45900xV9500;436050000;45900;9500;90250000;45120250;45100159;20091;1;0;7;38;40;0.95;1;1;45120250;45120250;0;1;0
305;natallyFile_352_C42300xV9300;393390000;42300;9300;86490000;43240350;43139149;101201;1;0;7;38;40;0.95;1;1;43240350;43240350;0;1;0
306;natallyFile_355_C53600xV9400;503840000;53600;9400;88360000;44175300;44102399;72901;1;0;7;38;40;0.95;1;1;44175300;44175300;0;1;0
307;natallyFile_356_C54900xV4100;225090000;54900;4100;16810000;8402950;8401850;1100;1;0;7;38;40;0.95;1;1;8402950;8402950;0;1;0
308;natallyFile_357_C42000xV2300;96600000;42000;2300;5290000;2643850;2641739;2111;1;0;7;38;40;0.95;1;1;2643850;2643850;0;1;0
309;natallyFile_358_C77900xV1100;85690000;77900;1100;1210000;604450;603250;1200;1;0;7;38;40;0.95;1;1;604450;604450;0;1;0
310;natallyFile_359_C43300xV8900;385370000;43300;8900;79210000;39600550;39500101;100449;1;0;7;38;40;0.95;1;1;39600550;39600550;0;1;0
311;natallyFile_362_C7400xV9200;68080000;7400;9200;84640000;42315400;41700005;615395;0.99;0.01;7;38;40;0.95;1;1;42315400;42315400;0;1;0
312;natallyFile_363_C45300xV3200;144960000;45300;3200;10240000;5118400;5109300;9100;1;0;7;38;40;0.95;1;1;5118400;5118400;0;1;0
313;natallyFile_369_C23000xV6300;144900000;23000;6300;39690000;19841850;19831450;10400;1;0;7;38;40;0.95;1;1;19841850;19841850;0;1;0
314;natallyFile_372_C44100xV4300;189630000;44100;4300;18490000;9242850;9241011;1839;1;0;7;38;40;0.95;1;1;9242850;9242850;0;1;0
315;natallyFile_374_C73500xV4000;294000000;73500;4000;16000000;7998000;7996599;1401;1;0;7;38;40;0.95;1;1;7998000;7998000;0;1;0
316;natallyFile_377_C82500xV1800;148500000;82500;1800;3240000;1619100;1607199;11901;0.99;0.01;7;38;40;0.95;1;1;1619100;1619100;0;1;0
317;natallyFile_378_C35600xV6100;217160000;35600;6100;37210000;18601950;18500100;101850;0.99;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
318;natallyFile_383_C99600xV1100;109560000;99600;1100;1210000;604450;603250;1200;1;0;7;38;40;0.95;1;1;604450;604450;0;1;0
319;natallyFile_384_C50200xV7900;396580000;50200;7900;62410000;31201050;31166950;34100;1;0;7;38;40;0.95;1;1;31201050;31201050;0;1;0
320;natallyFile_385_C58600xV5200;304720000;58600;5200;27040000;13517400;13514300;3100;1;0;7;38;40;0.95;1;1;13517400;13517400;0;1;0
321;natallyFile_388_C15600xV7100;110760000;15600;7100;50410000;25201450;25160320;41130;1;0;7;38;40;0.95;1;1;25201450;25201450;0;1;0
322;natallyFile_395_C62800xV3000;188400000;62800;3000;9000000;4498500;4491501;6999;0.998;0;7;38;40;0.95;1;1;4498500;4498500;0;1;0
323;natallyFile_397_C21700xV5400;117180000;21700;5400;29160000;14577300;14547099;30201;1;0;7;38;40;0.95;1;1;14577300;14577300;0;1;0
324;natallyFile_398_C64900x6000;389400000;64900;6000;36000000;17997000;17991001;5999;1;0;7;38;40;0.95;1;1;17997000;17997000;0;1;0
325;natallyFile_22_C31500xV7000;220500000;31500;7000;49000000;24496500;24464901;31599;1;0;7;38;40;0.95;1;1;24496500;24496500;0;1;0
326;natallyFile_25_C39200xV2700;105840000;39200;2700;7290000;3643650;3631349;12301;1;0;7;38;40;0.95;1;1;3643650;3643650;0;1;0
327;natallyFile_28_C95900xV4600;441140000;95900;4600;21160000;10577700;10465799;111901;0.99;0.01;7;38;40;0.95;1;1;10577700;10577700;0;1;0
328;natallyFile_30_C80700xV1500;121050000;80700;1500;2250000;1124250;1121150;3100;1;0;7;38;40;0.95;1;1;1124250;1124250;0;1;0
329;natallyFile_34_C1800xV7700;13860000;1800;7700;59290000;29641150;29541040;100110;1;0;7;38;40;0.95;1;1;29641150;29641150;0;1;0
330;natallyFile_36_C78600xV5500;432300000;78600;5500;30250000;15122250;15120101;2149;1;0;7;38;40;0.95;1;1;15122250;15122250;0;1;0
331;natallyFile_37_C54200xV8600;466120000;54200;8600;73960000;36975700;36964601;11099;1;0;7;38;40;0.95;1;1;36975700;36975700;0;1;0
332;natallyFile_39_C64700xV6400;414080000;64700;6400;40960000;20476800;20465799;11001;1;0;7;38;40;0.95;1;1;20476800;20476800;0;1;0
333;natallyFile_41_C35000xV5800;203000000;35000;5800;33640000;16817100;16716991;100109;0.99;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
334;natallyFile_42_C64900xV6100;395890000;64900;6100;37210000;18601950;18500100;101850;0.99;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
335;natallyFile_47_C38800xV8800;341440000;38800;8800;77440000;38715600;38710499;5101;1;0;7;38;40;0.95;1;1;38715600;38715600;0;1;0
336;natallyFile_48_C85100xV4700;399970000;85100;4700;22090000;11042650;11041650;1000;1;0;7;38;40;0.95;1;1;11042650;11042650;0;1;0
337;natallyFile_49_C64700xV7500;485250000;64700;7500;56250000;28121250;28101104;20146;1;0;7;38;40;0.95;1;1;28121250;28121250;0;1;0
338;natallyFile_50_C73900xV2900;214310000;73900;2900;8410000;4203550;4200599;2951;1;0;7;38;40;0.95;1;1;4203550;4203550;0;1;0
339;natallyFile_53_C47100xV9300;438030000;47100;9300;86490000;43240350;43139149;101201;1;0;7;38;40;0.95;1;1;43240350;43240350;0;1;0
340;natallyFile_55_C74200xV5800;430360000;74200;5800;33640000;16817100;16716991;100109;0.99;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
341;natallyFile_56_C60000xV4200;252000000;60000;4200;17640000;8817900;8815899;2001;1;0;7;38;40;0.95;1;1;8817900;8817900;0;1;0
342;natallyFile_57_C61800xV5900;364620000;61800;5900;34810000;17402050;17391545;10505;0.9994;0;7;38;40;0.95;1;1;17402050;17402050;0;1;0
343;natallyFile_59_C98500xV900;88650000;98500;900;810000;404550;403651;899;1;0;7;38;40;0.95;1;1;404550;404550;0;1;0
344;natallyFile_60_C54900xV6100;334890000;54900;6100;37210000;18601950;18500100;101850;0.99;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
345;natallyFile_61_C68600xV4900;336140000;68600;4900;24010000;12002550;11991399;11151;1;0;7;38;40;0.95;1;1;12002550;12002550;0;1;0
346;natallyFile_63_C68600xV4900;434140000;88600;4900;24010000;12002550;11991399;11151;1;0;7;38;40;0.95;1;1;12002550;12002550;0;1;0
347;natallyFile_65_C88300xV5400;476820000;88300;5400;29160000;14577300;14547099;30201;1;0;7;38;40;0.95;1;1;14577300;14577300;0;1;0
348;natallyFile_70_C61300xV3300;202290000;61300;3300;10890000;5443350;5431001;12349;0.998;0;7;38;40;0.95;1;1;5443350;5443350;0;1;0
349;natallyFile_71_C12200xV7500;91500000;12200;7500;56250000;28121250;28101104;20146;1;0;7;38;40;0.95;1;1;28121250;28121250;0;1;0
350;natallyFile_78_C41900xV2600;108940000;41900;2600;6760000;3378700;3376300;2400;1;0;7;38;40;0.95;1;1;3378700;3378700;0;1;0
351;natallyFile_81_C59900xV4900;293510000;59900;4900;24010000;12002550;11991399;11151;1;0;7;38;40;0.95;1;1;12002550;12002550;0;1;0
352;natallyFile_1_C36000xV8400;302400000;36000;8400;70560000;35275800;35235501;40299;1;0;7;38;40;0.95;1;1;35275800;35275800;0;1;0
353;natallyFile_2_C25900xV7700;199430000;25900;7700;59290000;29641150;29541040;100110;1;0;7;38;40;0.95;1;1;29641150;29641150;0;1;0
354;natallyFile_4_C74300xV3800;282340000;74300;3800;14440000;7218100;7216799;1301;1;0;7;38;40;0.95;1;1;7218100;7218100;0;1;0
355;natallyFile_5_C65800xV7400;486920000;65800;7400;54760000;27376300;27371291;5009;1;0;7;38;40;0.95;1;1;27376300;27376300;0;1;0
356;natallyFile_6_C82400xV2500;206000000;82400;2500;6250000;3123750;3122550;1200;1;0;7;38;40;0.95;1;1;3123750;3123750;0;1;0
357;natallyFile_8_C32200xV4900;157780000;32200;4900;24010000;12002550;11991399;11151;1;0;7;38;40;0.95;1;1;12002550;12002550;0;1;0
358;natallyFile_11_C12700xV10000;127000000;12700;10000;100000000;49995000;49988451;6549;1;0;7;38;40;0.95;1;1;499500;499500;0;1;0
359;natallyFile_12_C42800xV2700;115560000;42800;2700;7290000;3643650;3631349;12301;1;0;7;38;40;0.95;1;1;3643650;3643650;0;1;0
360;natallyFile_14_C62800xV7000;439600000;62800;7000;49000000;24496500;24464901;31599;1;0;7;38;40;0.95;1;1;24496500;24496500;0;1;0
361;natallyFile_16_C29700xV9300;276210000;29700;9300;86490000;43240350;43139149;101201;1;0;7;38;40;0.95;1;1;43240350;43240350;0;1;0
362;natallyFile_17_C86300xV5800;500540000;86300;5800;33640000;16817100;16716991;100109;0.99;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
363;natallyFile_18_C23800xV5200;123760000;23800;5200;27040000;13517400;13514300;3100;1;0;7;38;40;0.95;1;1;13517400;13517400;0;1;0
364;natallyFile_19_C17400xV8300;144420000;17400;8300;68890000;34440850;34430649;10201;1;0;7;38;40;0.95;1;1;34440850;34440850;0;1;0
365;natallyFile_20_C40800xV8700;354960000;40800;8700;75690000;37840650;37820549;20101;1;0;7;38;40;0.95;1;1;37840650;37840650;0;1;0
366;natallyFile_21_C89400xV3500;312900000;89400;3500;12250000;6123250;6111250;12000;1;0;7;38;40;0.95;1;1;6123250;6123250;0;1;0
367;natallyFile_22_C31500xV7000;220500000;31500;7000;49000000;24496500;24464901;31599;1;0;7;38;40;0.95;1;1;24496500;24496500;0;1;0
368;natallyFile_25_C39200xV2700;105840000;39200;2700;7290000;3643650;3631349;12301;1;0;7;38;40;0.95;1;1;3643650;3643650;0;1;0
369;natallyFile_28_C95900xV4600;441140000;95900;4600;21160000;10577700;10576199;1501;1;0;7;38;40;0.95;1;1;10577700;10577700;0;1;0
370;natallyFile_30_C80700xV1500;121050000;80700;1500;2250000;1124250;1121150;3100;1;0;7;38;40;0.95;1;1;1124250;1124250;0;1;0
371;natallyFile_34_C18000xV7700;138600000;18000;7700;59290000;29641150;29541040;100110;1;0;7;38;40;0.95;1;1;29641150;29641150;0;1;0
372;natallyFile_35_C78600xV5500;432300000;78600;5500;30250000;15122250;15120101;2149;1;0;7;38;40;0.95;1;1;15122250;15122250;0;1;0
373;natallyFile_36_C54200xV8600;466120000;54200;8600;73960000;36975700;36964601;11099;1;0;7;38;40;0.95;1;1;36975700;36975700;0;1;0
374;natallyFile_446_C32200xV5100;164220000;32200;5100;26010000;13002450;13000100;2350;0.9998;0;7;38;40;0.95;1;1;13002450;13002450;0;1;0
375;natallyFile_448_C25600xV8600;220160000;25600;8600;73960000;36975700;36964601;11099;1;0;7;38;40;0.95;1;1;36975700;36975700;0;1;0
376;natallyFile_449_C41300xV7200;297360000;41300;7200;51840000;25916400;25910399;6001;1;0;7;38;40;0.95;1;1;25916400;25916400;0;1;0
377;natallyFile_450_C18300xV4900;89670000;18300;4900;24010000;12002550;11991399;11151;1;0;7;38;40;0.95;1;1;12002550;12002550;0;1;0
378;natallyFile_452_C70000xV4600;322000000;70000;4600;21160000;10577700;10465799;111901;0.99;0.01;7;38;40;0.95;1;1;10577700;10577700;0;1;0
379;natallyFile_454_C54900xV7600;417240000;54900;7600;57760000;28876200;28855199;21001;1;0;7;38;40;0.95;1;1;28876200;28876200;0;1;0
380;natallyFile_455_C50500xV1900;95950000;50500;1900;3610000;1804050;1801199;2851;1;0;7;38;40;0.95;1;1;1804050;1804050;0;1;0
381;natallyFile_457_C67400xV3800;256120000;67400;3800;14440000;7218100;7216799;1301;1;0;7;38;40;0.95;1;1;7218100;7218100;0;1;0
382;natallyFile_458_C89200xV8700;776040000;89200;8700;75690000;37840650;37820549;20101;1;0;7;38;40;0.95;1;1;37840650;37840650;0;1;0
383;natallyFile_430__C88400xV8500;751400000;88400;8500;72250000;36120750;36110650;10100;1;0;7;38;40;0.95;1;1;36120750;36120750;0;1;0
